L,epsilon,chi_mean,chi_stderr
16,-1.7,13.779956678295292,0.10126029228430761
32,-1.72,50.214904702855875,0.941418410435997
48,-1.73,96.72973702848958,1.6861307760606348
64,-1.74,167.16841307263064,6.221997515412806
96,-1.74,319.45537037402016,9.986417370155685
128,-1.745,538.4743910899574,22.905432955281817
256,-1.755,1550.3206343155234,252.7774638452789
